Date,AT6,AT1,AT2,AT3,AT4,AT5,SWBC1,SWBC2,SWBC3,SWBC4,SWBC5,SWBC6,SWBC7,SWBC8,SWBC9,SWBC10,SWBC11,SWBC12,SWBC13,SWBC14,SWBC15
7/24/1990,18.66487455,0.377837512,0.424133809,-1.279569894,-0.512080182,0.87247689,2.878446,0.050782,3.246661,3.195995,0.100554,3.801178,2.410128,2.259211,3.376613,3.481682,0.314582,2.682863,2.252137,0.385864,2.190998
7/25/1990,21.36200717,1.454599762,1.269414576,-1.360215054,0.322912518,1.493586116,2.878446,0.050782,3.247541,3.195995,0.100554,3.801178,2.410128,2.259211,3.376662,3.482017,0.314582,2.682863,2.252137,0.385864,2.190998
7/26/1990,22.33870968,0.810931899,1.250746714,-0.397401434,-0.171578389,1.359177514,2.885398,0.050782,3.283809,3.237438,0.100554,3.803633,2.44169,2.259211,3.407712,3.485957,0.314582,2.729254,2.281714,0.385864,2.216206
7/27/1990,22.17741936,1.158900835,2.084826763,0.357974911,-0.137395459,1.154027541,2.894748,0.050782,3.316974,3.282046,0.100554,3.808957,2.484185,2.259211,3.435727,3.488599,0.314582,2.760386,2.321968,0.385864,2.24703
7/28/1990,22.60752688,0.894563917,0.998730585,-1.628584229,-0.046794105,1.542712067,2.899893,0.050782,3.329988,3.306453,0.100554,3.825037,2.512693,2.259211,3.446364,3.496033,0.314582,2.770425,2.339844,0.385864,2.261063
7/29/1990,23.89784946,2.601553165,1.444145759,-0.116039426,0.204433824,1.027479091,2.900465,0.050782,3.335207,3.308591,0.100554,3.82778,2.516301,2.259211,3.446675,3.500277,0.314582,2.775159,2.340202,0.385864,2.263523
7/30/1990,20.98566308,1.86529271,2.501866785,0.818996416,-0.619275191,1.702037351,2.900465,0.050782,3.335207,3.308591,0.100554,3.82778,2.516301,2.259211,3.446675,3.500277,0.314582,2.775159,2.340202,0.385864,2.263523
7/31/1990,16.1827957,-0.622759855,0.546221625,-0.775537634,-1.317204302,1.606772306,2.900465,0.050782,3.335207,3.308591,0.100554,3.82778,2.516301,2.259211,3.446675,3.500277,0.314582,2.775159,2.340202,0.385864,2.263523
8/1/1990,17.265625,-2.932787699,-0.434375,-1.041253307,0.331468621,0.569718567,2.900465,0.050782,3.335207,3.308591,0.100554,3.82778,2.516301,2.259211,3.446675,3.500277,0.314582,2.775159,2.340202,0.385864,2.263523
8/2/1990,18.70659722,-1.809275792,-0.893402777,-1.147900132,0.095486111,-0.065332601,2.901035,0.050782,3.336158,3.317979,0.100554,3.828716,2.531842,2.259211,3.446912,3.500331,0.314582,2.784809,2.340203,0.385864,2.269164
8/3/1990,21.62326389,-0.321180555,-0.298958333,-1.908482141,-0.105131172,0.913387347,2.902662,0.050782,3.34549,3.350788,0.100554,3.846625,2.557886,2.259211,3.448764,3.505325,0.314582,2.796691,2.340217,0.385864,2.278182
8/4/1990,22.41319444,2.294146826,1.313194444,-0.285218254,-0.199974279,1.363811729,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/5/1990,19.55729167,1.382688494,2.668402778,1.104910715,-0.206082819,1.362847222,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/6/1990,15.42534722,-0.527033729,0.369791667,-0.421213623,-0.356545781,1.287920323,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/7/1990,15.63368056,-1.906001983,-1.399652777,-1.641451717,-0.292245369,0.297423247,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/8/1990,18.39409722,-2.637648809,0.160763888,-1.222304895,-0.916602366,0.718658626,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/9/1990,19.21875,-2.130456349,-0.525694443,-0.860615078,-0.534336419,0.476059942,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/10/1990,20.18229167,1.888640874,1.693402779,-0.399718914,-0.681905865,1.447723765,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/11/1990,19.765625,4.368799603,1.97673611,0.05663029,-0.861947017,0.942095589,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/12/1990,17.890625,2.216021825,1.779513888,-0.38979828,-2.047646605,1.616115196,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/13/1990,15.90501792,0.706605223,1.549462367,-1.198156682,-1.749303066,1.568598169,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/14/1990,18.23476703,-1.804915515,-0.109677419,-2.135603345,-0.510088942,0.734767025,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
